0x1f600	grinning
0x2196	arrow upper left
0x2197	arrow upper right
0x2198	arrow lower right
0x2199	arrow lower left
0x21a9	leftwards arrow with hook
0x21aa	arrow right hook
0x231a	watch
0x231b	hourglass
0x2328	keyboard
0x23cf	eject
0x23e9	fast forward
0x23ea	rewind
0x23eb	arrow double up
0x23ec	arrow double down
0x23ed	black right pointing double triangle with vertical bar
0x23ee	black left pointing double triangle with vertical bar
0x23ef	black right pointing triangle with double vertical bar
0x23f0	alarm clock
0x23f1	stopwatch
0x23f2	timer clock
0x23f3	hourglass flowing sand
0x23f8	double vertical bar
0x23f9	black square for stop
0x23fa	black circle for record
0x24c2	m
0x25aa	black small square
0x25ab	white small square
0x25b6	arrow forward
0x25c0	arrow backward
0x25fb	white medium square
0x25fc	black medium square
0x25fd	white medium small square
0x25fe	black medium small square
0x2600	sunny
0x2601	cloud
0x2602	umbrella
0x2603	snowman
0x2604	comet
0x260e	phone
0x260e	telephone
0x2611	ballot box with check
0x2614	umbrella with rain drops
0x2615	coffee
0x2618	shamrock
0x261d	point up
0x2620	skull and crossbones
0x2622	radioactive sign
0x2623	biohazard sign
0x2626	orthodox cross
0x262a	star and crescent
0x262e	peace symbol
0x262f	yin yang
0x2638	wheel of dharma
0x2639	white frowning face
0x263a	relaxed
0x2648	aries
0x2649	taurus
0x264a	gemini
0x264b	cancer
0x264c	leo
0x264d	virgo
0x264e	libra
0x264f	scorpius
0x2650	sagittarius
0x2651	capricorn
0x2652	aquarius
0x2653	pisces
0x2660	spades
0x2663	clubs
0x2665	hearts
0x2666	diamonds
0x2668	hotsprings
0x267b	recycle
0x267f	wheelchair
0x2692	hammer and pick
0x2693	anchor
0x2694	crossed swords
0x2696	scales
0x2697	alembic
0x2699	gear
0x269b	atom symbol
0x269c	fleur de lis
0x26a0	warning
0x26a1	zap
0x26aa	white circle
0x26ab	black circle
0x26b0	coffin
0x26b1	funeral urn
0x26bd	soccer
0x26be	baseball
0x26c4	snowman without snow
0x26c5	partly sunny
0x26c8	thunder cloud and rain
0x26ce	ophiuchus
0x26cf	pick
0x26d1	helmet with white cross
0x26d3	chains
0x26d4	no entry
0x26e9	shinto shrine
0x26ea	church
0x26f0	mountain
0x26f1	umbrella on ground
0x26f2	fountain
0x26f3	golf
0x26f4	ferry
0x26f5	boat
0x26f5	sailboat
0x26f7	skier
0x26f8	ice skate
0x26f9	person with ball
0x26fa	tent
0x26fd	fuelpump
0x2702	scissors
0x2705	white check mark
0x2708	airplane
0x2709	email
0x2709	envelope
0x270a	fist
0x270b	hand
0x270b	raised hand
0x270c	v
0x270d	writing hand
0x270f	pencil2
0x2712	black nib
0x2714	heavy check mark
0x2716	heavy multiplication x
0x271d	latin cross
0x2721	star of david
0x2728	sparkles
0x2733	eight spoked asterisk
0x2734	eight pointed black star
0x2744	snowflake
0x2747	sparkle
0x274c	x
0x274e	negative squared cross mark
0x2753	question
0x2754	grey question
0x2755	grey exclamation
0x2757	exclamation
0x2757	heavy exclamation mark
0x2763	heavy heart exclamation mark ornament
0x2764	heart
0x2795	heavy plus sign
0x2796	heavy minus sign
0x2797	heavy division sign
0x27a1	arrow right
0x27b0	curly loop
0x27bf	loop
0x2934	arrow heading up
0x2935	arrow heading down
0x2b05	arrow left
0x2b06	arrow up
0x2b07	arrow down
0x2b1b	black large square
0x2b1c	white large square
0x2b50	star
0x2b55	o
0x3030	wavy dash
0x303d	part alternation mark
0x3297	congratulations
0x3299	secret
0x1f004	mahjong
0x1f0cf	black joker
0x1f170	a
0x1f171	b
0x1f17e	o2
0x1f17f	parking
0x1f18e	ab
0x1f191	cl
0x1f192	cool
0x1f193	free
0x1f194	id
0x1f195	new
0x1f196	ng
0x1f197	ok
0x1f198	sos
0x1f199	up
0x1f19a	vs
0x1f201	koko
0x1f202	sa
0x1f21a	u7121
0x1f22f	u6307
0x1f232	u7981
0x1f233	u7a7a
0x1f234	u5408
0x1f235	u6e80
0x1f236	u6709
0x1f237	u6708
0x1f238	u7533
0x1f239	u5272
0x1f23a	u55b6
0x1f250	ideograph advantage
0x1f251	accept
0x1f300	cyclone
0x1f301	foggy
0x1f302	closed umbrella
0x1f303	night with stars
0x1f304	sunrise over mountains
0x1f305	sunrise
0x1f306	city sunset
0x1f307	city sunrise
0x1f308	rainbow
0x1f309	bridge at night
0x1f30a	ocean
0x1f30b	volcano
0x1f30c	milky way
0x1f30d	earth africa
0x1f30e	earth americas
0x1f30f	earth asia
0x1f310	globe with meridians
0x1f311	new moon
0x1f312	waxing crescent moon
0x1f313	first quarter moon
0x1f314	moon
0x1f314	waxing gibbous moon
0x1f315	full moon
0x1f316	waning gibbous moon
0x1f317	last quarter moon
0x1f318	waning crescent moon
0x1f319	crescent moon
0x1f31a	new moon with face
0x1f31b	first quarter moon with face
0x1f31c	last quarter moon with face
0x1f31d	full moon with face
0x1f31e	sun with face
0x1f31f	star2
0x1f320	stars
0x1f321	thermometer
0x1f324	mostly sunny
0x1f324	sun small cloud
0x1f325	barely sunny
0x1f325	sun behind cloud
0x1f326	partly sunny rain
0x1f326	sun behind rain cloud
0x1f327	rain cloud
0x1f328	snow cloud
0x1f329	lightning
0x1f329	lightning cloud
0x1f32a	tornado
0x1f32a	tornado cloud
0x1f32b	fog
0x1f32c	wind blowing face
0x1f32d	hotdog
0x1f32e	taco
0x1f32f	burrito
0x1f330	chestnut
0x1f331	seedling
0x1f332	evergreen tree
0x1f333	deciduous tree
0x1f334	palm tree
0x1f335	cactus
0x1f336	hot pepper
0x1f337	tulip
0x1f338	cherry blossom
0x1f339	rose
0x1f33a	hibiscus
0x1f33b	sunflower
0x1f33c	blossom
0x1f33d	corn
0x1f33e	ear of rice
0x1f33f	herb
0x1f340	four leaf clover
0x1f341	maple leaf
0x1f342	fallen leaf
0x1f343	leaves
0x1f344	mushroom
0x1f345	tomato
0x1f346	eggplant
0x1f347	grapes
0x1f348	melon
0x1f349	watermelon
0x1f34a	tangerine
0x1f34b	lemon
0x1f34c	banana
0x1f34d	pineapple
0x1f34e	apple
0x1f34f	green apple
0x1f350	pear
0x1f351	peach
0x1f352	cherries
0x1f353	strawberry
0x1f354	hamburger
0x1f355	pizza
0x1f356	meat on bone
0x1f357	poultry leg
0x1f358	rice cracker
0x1f359	rice ball
0x1f35a	rice
0x1f35b	curry
0x1f35c	ramen
0x1f35d	spaghetti
0x1f35e	bread
0x1f35f	fries
0x1f360	sweet potato
0x1f361	dango
0x1f362	oden
0x1f363	sushi
0x1f364	fried shrimp
0x1f365	fish cake
0x1f366	icecream
0x1f367	shaved ice
0x1f368	ice cream
0x1f369	doughnut
0x1f36a	cookie
0x1f36b	chocolate bar
0x1f36c	candy
0x1f36d	lollipop
0x1f36e	custard
0x1f36f	honey pot
0x1f370	cake
0x1f371	bento
0x1f372	stew
0x1f373	egg
0x1f374	fork and knife
0x1f375	tea
0x1f376	sake
0x1f377	wine glass
0x1f378	cocktail
0x1f379	tropical drink
0x1f37a	beer
0x1f37b	beers
0x1f37c	baby bottle
0x1f37d	knife fork plate
0x1f37e	champagne
0x1f37f	popcorn
0x1f380	ribbon
0x1f381	gift
0x1f382	birthday
0x1f383	jack o lantern
0x1f384	christmas tree
0x1f385	santa
0x1f386	fireworks
0x1f387	sparkler
0x1f388	balloon
0x1f389	tada
0x1f38a	confetti ball
0x1f38b	tanabata tree
0x1f38c	crossed flags
0x1f38d	bamboo
0x1f38e	dolls
0x1f38f	flags
0x1f390	wind chime
0x1f391	rice scene
0x1f392	school satchel
0x1f393	mortar board
0x1f396	medal
0x1f397	reminder ribbon
0x1f399	studio microphone
0x1f39a	level slider
0x1f39b	control knobs
0x1f39e	film frames
0x1f39f	admission tickets
0x1f3a0	carousel horse
0x1f3a1	ferris wheel
0x1f3a2	roller coaster
0x1f3a3	fishing pole and fish
0x1f3a4	microphone
0x1f3a5	movie camera
0x1f3a6	cinema
0x1f3a7	headphones
0x1f3a8	art
0x1f3a9	tophat
0x1f3aa	circus tent
0x1f3ab	ticket
0x1f3ac	clapper
0x1f3ad	performing arts
0x1f3ae	video game
0x1f3af	dart
0x1f3b0	slot machine
0x1f3b1	8ball
0x1f3b2	game die
0x1f3b3	bowling
0x1f3b4	flower playing cards
0x1f3b5	musical note
0x1f3b6	notes
0x1f3b7	saxophone
0x1f3b8	guitar
0x1f3b9	musical keyboard
0x1f3ba	trumpet
0x1f3bb	violin
0x1f3bc	musical score
0x1f3bd	running shirt with sash
0x1f3be	tennis
0x1f3bf	ski
0x1f3c0	basketball
0x1f3c1	checkered flag
0x1f3c2	snowboarder
0x1f3c3	runner
0x1f3c3	running
0x1f3c4	surfer
0x1f3c5	sports medal
0x1f3c6	trophy
0x1f3c7	horse racing
0x1f3c8	football
0x1f3c9	rugby football
0x1f3ca	swimmer
0x1f3cb	weight lifter
0x1f3cc	golfer
0x1f3cd	racing motorcycle
0x1f3ce	racing car
0x1f3cf	cricket bat and ball
0x1f3d0	volleyball
0x1f3d1	field hockey stick and ball
0x1f3d2	ice hockey stick and puck
0x1f3d3	table tennis paddle and ball
0x1f3d4	snow capped mountain
0x1f3d5	camping
0x1f3d6	beach with umbrella
0x1f3d7	building construction
0x1f3d8	house buildings
0x1f3d9	cityscape
0x1f3da	derelict house building
0x1f3db	classical building
0x1f3dc	desert
0x1f3dd	desert island
0x1f3de	national park
0x1f3df	stadium
0x1f3e0	house
0x1f3e1	house with garden
0x1f3e2	office
0x1f3e3	post office
0x1f3e4	european post office
0x1f3e5	hospital
0x1f3e6	bank
0x1f3e7	atm
0x1f3e8	hotel
0x1f3e9	love hotel
0x1f3ea	convenience store
0x1f3eb	school
0x1f3ec	department store
0x1f3ed	factory
0x1f3ee	izakaya lantern
0x1f3ee	lantern
0x1f3ef	japanese castle
0x1f3f0	european castle
0x1f3f3	waving white flag
0x1f3f4	waving black flag
0x1f3f5	rosette
0x1f3f7	label
0x1f3f8	badminton racquet and shuttlecock
0x1f3f9	bow and arrow
0x1f3fa	amphora
0x1f3fb	skin tone 2
0x1f3fc	skin tone 3
0x1f3fd	skin tone 4
0x1f3fe	skin tone 5
0x1f3ff	skin tone 6
0x1f400	rat
0x1f401	mouse2
0x1f402	ox
0x1f403	water buffalo
0x1f404	cow2
0x1f405	tiger2
0x1f406	leopard
0x1f407	rabbit2
0x1f408	cat2
0x1f409	dragon
0x1f40a	crocodile
0x1f40b	whale2
0x1f40c	snail
0x1f40d	snake
0x1f40e	racehorse
0x1f40f	ram
0x1f410	goat
0x1f411	sheep
0x1f412	monkey
0x1f413	rooster
0x1f414	chicken
0x1f415	dog2
0x1f416	pig2
0x1f417	boar
0x1f418	elephant
0x1f419	octopus
0x1f41a	shell
0x1f41b	bug
0x1f41c	ant
0x1f41d	bee
0x1f41d	honeybee
0x1f41e	beetle
0x1f41f	fish
0x1f420	tropical fish
0x1f421	blowfish
0x1f422	turtle
0x1f423	hatching chick
0x1f424	baby chick
0x1f425	hatched chick
0x1f426	bird
0x1f427	penguin
0x1f428	koala
0x1f429	poodle
0x1f42a	dromedary camel
0x1f42b	camel
0x1f42c	dolphin
0x1f42c	flipper
0x1f42d	mouse
0x1f42e	cow
0x1f42f	tiger
0x1f430	rabbit
0x1f431	cat
0x1f432	dragon face
0x1f433	whale
0x1f434	horse
0x1f435	monkey face
0x1f436	dog
0x1f437	pig
0x1f438	frog
0x1f439	hamster
0x1f43a	wolf
0x1f43b	bear
0x1f43c	panda face
0x1f43d	pig nose
0x1f43e	feet
0x1f43e	paw prints
0x1f43f	chipmunk
0x1f440	eyes
0x1f441	eye
0x1f442	ear
0x1f443	nose
0x1f444	lips
0x1f445	tongue
0x1f446	point up 2
0x1f447	point down
0x1f448	point left
0x1f449	point right
0x1f44a	facepunch
0x1f44a	punch
0x1f44b	wave
0x1f44c	ok hand
0x1f44d	+1
0x1f44d	thumbsup
0x1f44e	-1
0x1f44e	thumbsdown
0x1f44f	clap
0x1f450	open hands
0x1f451	crown
0x1f452	womans hat
0x1f453	eyeglasses
0x1f454	necktie
0x1f455	shirt
0x1f455	tshirt
0x1f456	jeans
0x1f457	dress
0x1f458	kimono
0x1f459	bikini
0x1f45a	womans clothes
0x1f45b	purse
0x1f45c	handbag
0x1f45d	pouch
0x1f45e	mans shoe
0x1f45e	shoe
0x1f45f	athletic shoe
0x1f460	high heel
0x1f461	sandal
0x1f462	boot
0x1f463	footprints
0x1f464	bust in silhouette
0x1f465	busts in silhouette
0x1f466	boy
0x1f467	girl
0x1f468	man
0x1f469	woman
0x1f46a	family
0x1f46a	man woman boy
0x1f46b	couple
0x1f46b	man and woman holding hands
0x1f46c	two men holding hands
0x1f46d	two women holding hands
0x1f46e	cop
0x1f46f	dancers
0x1f470	bride with veil
0x1f471	person with blond hair
0x1f472	man with gua pi mao
0x1f473	man with turban
0x1f474	older man
0x1f475	older woman
0x1f476	baby
0x1f477	construction worker
0x1f478	princess
0x1f479	japanese ogre
0x1f47a	japanese goblin
0x1f47b	ghost
0x1f47c	angel
0x1f47d	alien
0x1f47e	space invader
0x1f47f	imp
0x1f480	skull
0x1f481	information desk person
0x1f482	guardsman
0x1f483	dancer
0x1f484	lipstick
0x1f485	nail care
0x1f486	massage
0x1f487	haircut
0x1f488	barber
0x1f489	syringe
0x1f48a	pill
0x1f48b	kiss
0x1f48c	love letter
0x1f48d	ring
0x1f48e	gem
0x1f48f	couplekiss
0x1f490	bouquet
0x1f491	couple with heart
0x1f492	wedding
0x1f493	heartbeat
0x1f494	broken heart
0x1f495	two hearts
0x1f496	sparkling heart
0x1f497	heartpulse
0x1f498	cupid
0x1f499	blue heart
0x1f49a	green heart
0x1f49b	yellow heart
0x1f49c	purple heart
0x1f49d	gift heart
0x1f49e	revolving hearts
0x1f49f	heart decoration
0x1f4a0	diamond shape with a dot inside
0x1f4a1	bulb
0x1f4a2	anger
0x1f4a3	bomb
0x1f4a4	zzz
0x1f4a5	boom
0x1f4a5	collision
0x1f4a6	sweat drops
0x1f4a7	droplet
0x1f4a8	dash
0x1f4a9	hankey
0x1f4a9	shit
0x1f4a9	poop
0x1f4aa	muscle
0x1f4ab	dizzy
0x1f4ac	speech balloon
0x1f4ad	thought balloon
0x1f4ae	white flower
0x1f4af	100
0x1f4b0	moneybag
0x1f4b1	currency exchange
0x1f4b2	heavy dollar sign
0x1f4b3	credit card
0x1f4b4	yen
0x1f4b5	dollar
0x1f4b6	euro
0x1f4b7	pound
0x1f4b8	money with wings
0x1f4b9	chart
0x1f4ba	seat
0x1f4bb	computer
0x1f4bc	briefcase
0x1f4bd	minidisc
0x1f4be	floppy disk
0x1f4bf	cd
0x1f4c0	dvd
0x1f4c1	file folder
0x1f4c2	open file folder
0x1f4c3	page with curl
0x1f4c4	page facing up
0x1f4c5	date
0x1f4c6	calendar
0x1f4c7	card index
0x1f4c8	chart with upwards trend
0x1f4c9	chart with downwards trend
0x1f4ca	bar chart
0x1f4cb	clipboard
0x1f4cc	pushpin
0x1f4cd	round pushpin
0x1f4ce	paperclip
0x1f4cf	straight ruler
0x1f4d0	triangular ruler
0x1f4d1	bookmark tabs
0x1f4d2	ledger
0x1f4d3	notebook
0x1f4d4	notebook with decorative cover
0x1f4d5	closed book
0x1f4d6	book
0x1f4d6	open book
0x1f4d7	green book
0x1f4d8	blue book
0x1f4d9	orange book
0x1f4da	books
0x1f4db	name badge
0x1f4dc	scroll
0x1f4dd	memo
0x1f4dd	pencil
0x1f4de	telephone receiver
0x1f4df	pager
0x1f4e0	fax
0x1f4e1	satellite antenna
0x1f4e2	loudspeaker
0x1f4e3	mega
0x1f4e4	outbox tray
0x1f4e5	inbox tray
0x1f4e6	package
0x1f4e7	e mail
0x1f4e8	incoming envelope
0x1f4e9	envelope with arrow
0x1f4ea	mailbox closed
0x1f4eb	mailbox
0x1f4ec	mailbox with mail
0x1f4ed	mailbox with no mail
0x1f4ee	postbox
0x1f4ef	postal horn
0x1f4f0	newspaper
0x1f4f1	iphone
0x1f4f2	calling
0x1f4f3	vibration mode
0x1f4f4	mobile phone off
0x1f4f5	no mobile phones
0x1f4f6	signal strength
0x1f4f7	camera
0x1f4f8	camera with flash
0x1f4f9	video camera
0x1f4fa	tv
0x1f4fb	radio
0x1f4fc	vhs
0x1f4fd	film projector
0x1f4ff	prayer beads
0x1f500	twisted rightwards arrows
0x1f501	repeat
0x1f502	repeat one
0x1f503	arrows clockwise
0x1f504	arrows counterclockwise
0x1f505	low brightness
0x1f506	high brightness
0x1f507	mute
0x1f508	speaker
0x1f509	sound
0x1f50a	loud sound
0x1f50b	battery
0x1f50c	electric plug
0x1f50d	mag
0x1f50e	mag right
0x1f50f	lock with ink pen
0x1f510	closed lock with key
0x1f511	key
0x1f512	lock
0x1f513	unlock
0x1f514	bell
0x1f515	no bell
0x1f516	bookmark
0x1f517	link
0x1f518	radio button
0x1f519	back
0x1f51a	end
0x1f51b	on
0x1f51c	soon
0x1f51d	top
0x1f51e	underage
0x1f51f	keycap ten
0x1f520	capital abcd
0x1f521	abcd
0x1f522	1234
0x1f523	symbols
0x1f524	abc
0x1f525	fire
0x1f526	flashlight
0x1f527	wrench
0x1f528	hammer
0x1f529	nut and bolt
0x1f52a	hocho
0x1f52a	knife
0x1f52b	gun
0x1f52c	microscope
0x1f52d	telescope
0x1f52e	crystal ball
0x1f52f	six pointed star
0x1f530	beginner
0x1f531	trident
0x1f532	black square button
0x1f533	white square button
0x1f534	red circle
0x1f535	large blue circle
0x1f536	large orange diamond
0x1f537	large blue diamond
0x1f538	small orange diamond
0x1f539	small blue diamond
0x1f53a	small red triangle
0x1f53b	small red triangle down
0x1f53c	arrow up small
0x1f53d	arrow down small
0x1f549	om symbol
0x1f54a	dove of peace
0x1f54b	kaaba
0x1f54c	mosque
0x1f54d	synagogue
0x1f54e	menorah with nine branches
0x1f550	clock1
0x1f551	clock2
0x1f552	clock3
0x1f553	clock4
0x1f554	clock5
0x1f555	clock6
0x1f556	clock7
0x1f557	clock8
0x1f558	clock9
0x1f559	clock10
0x1f55a	clock11
0x1f55b	clock12
0x1f55c	clock130
0x1f55d	clock230
0x1f55e	clock330
0x1f55f	clock430
0x1f560	clock530
0x1f561	clock630
0x1f562	clock730
0x1f563	clock830
0x1f564	clock930
0x1f565	clock1030
0x1f566	clock1130
0x1f567	clock1230
0x1f56f	candle
0x1f570	mantelpiece clock
0x1f573	hole
0x1f574	man in business suit levitating
0x1f575	sleuth or spy
0x1f576	dark sunglasses
0x1f577	spider
0x1f578	spider web
0x1f579	joystick
0x1f587	linked paperclips
0x1f58a	lower left ballpoint pen
0x1f58b	lower left fountain pen
0x1f58c	lower left paintbrush
0x1f58d	lower left crayon
0x1f590	raised hand with fingers splayed
0x1f595	middle finger
0x1f595	reversed hand with middle finger extended
0x1f596	spock hand
0x1f5a5	desktop computer
0x1f5a8	printer
0x1f5b1	three button mouse
0x1f5b2	trackball
0x1f5bc	frame with picture
0x1f5c2	card index dividers
0x1f5c3	card file box
0x1f5c4	file cabinet
0x1f5d1	wastebasket
0x1f5d2	spiral note pad
0x1f5d3	spiral calendar pad
0x1f5dc	compression
0x1f5dd	old key
0x1f5de	rolled up newspaper
0x1f5e1	dagger knife
0x1f5e3	speaking head in silhouette
0x1f5e8	left speech bubble
0x1f5ef	right anger bubble
0x1f5f3	ballot box with ballot
0x1f5fa	world map
0x1f5fb	mount fuji
0x1f5fc	tokyo tower
0x1f5fd	statue of liberty
0x1f5fe	japan
0x1f5ff	moyai
0x1f680	rocket
0x1f681	helicopter
0x1f682	steam locomotive
0x1f683	railway car
0x1f684	bullettrain side
0x1f685	bullettrain front
0x1f686	train2
0x1f687	metro
0x1f688	light rail
0x1f689	station
0x1f68a	tram
0x1f68b	train
0x1f68c	bus
0x1f68d	oncoming bus
0x1f68e	trolleybus
0x1f68f	busstop
0x1f690	minibus
0x1f691	ambulance
0x1f692	fire engine
0x1f693	police car
0x1f694	oncoming police car
0x1f695	taxi
0x1f696	oncoming taxi
0x1f697	car
0x1f697	red car
0x1f698	oncoming automobile
0x1f699	blue car
0x1f69a	truck
0x1f69b	articulated lorry
0x1f69c	tractor
0x1f69d	monorail
0x1f69e	mountain railway
0x1f69f	suspension railway
0x1f6a0	mountain cableway
0x1f6a1	aerial tramway
0x1f6a2	ship
0x1f6a3	rowboat
0x1f6a4	speedboat
0x1f6a5	traffic light
0x1f6a6	vertical traffic light
0x1f6a7	construction
0x1f6a8	rotating light
0x1f6a9	triangular flag on post
0x1f6aa	door
0x1f6ab	no entry sign
0x1f6ac	smoking
0x1f6ad	no smoking
0x1f6ae	put litter in its place
0x1f6af	do not litter
0x1f6b0	potable water
0x1f6b1	non potable water
0x1f6b2	bike
0x1f6b3	no bicycles
0x1f6b4	bicyclist
0x1f6b5	mountain bicyclist
0x1f6b6	walking
0x1f6b7	no pedestrians
0x1f6b8	children crossing
0x1f6b9	mens
0x1f6ba	womens
0x1f6bb	restroom
0x1f6bc	baby symbol
0x1f6bd	toilet
0x1f6be	wc
0x1f6bf	shower
0x1f6c0	bath
0x1f6c1	bathtub
0x1f6c2	passport control
0x1f6c3	customs
0x1f6c4	baggage claim
0x1f6c5	left luggage
0x1f6cb	couch and lamp
0x1f6cc	sleeping accommodation
0x1f6cd	shopping bags
0x1f6ce	bellhop bell
0x1f6cf	bed
0x1f6d0	place of worship
0x1f6e0	hammer and wrench
0x1f6e1	shield
0x1f6e2	oil drum
0x1f6e3	motorway
0x1f6e4	railway track
0x1f6e5	motor boat
0x1f6e9	small airplane
0x1f6eb	airplane departure
0x1f6ec	airplane arriving
0x1f6f0	satellite
0x1f6f3	passenger ship
0x1f910	zipper mouth face
0x1f911	money mouth face
0x1f912	face with thermometer
0x1f913	nerd face
0x1f914	thinking face
0x1f915	face with head bandage
0x1f916	robot face
0x1f917	hugging face
0x1f918	the horns
0x1f918	sign of the horns
0x1f980	crab
0x1f981	lion face
0x1f982	scorpion
0x1f983	turkey
0x1f984	unicorn face
0x1f9c0	cheese wedge
0x0023,0x20e3	hash
0x002a,0x20e3	keycap star
0x0030,0x20e3	zero
0x0031,0x20e3	one
0x0032,0x20e3	two
0x0033,0x20e3	three
0x0034,0x20e3	four
0x0035,0x20e3	five
0x0036,0x20e3	six
0x0037,0x20e3	seven
0x0038,0x20e3	eight
0x0039,0x20e3	nine
0x1f1e6,0x1f1e8	flag ac
0x1f1e6,0x1f1e9	flag ad
0x1f1e6,0x1f1ea	flag ae
0x1f1e6,0x1f1eb	flag af
0x1f1e6,0x1f1ec	flag ag
0x1f1e6,0x1f1ee	flag ai
0x1f1e6,0x1f1f1	flag al
0x1f1e6,0x1f1f2	flag am
0x1f1e6,0x1f1f4	flag ao
0x1f1e6,0x1f1f6	flag aq
0x1f1e6,0x1f1f7	flag ar
0x1f1e6,0x1f1f8	flag as
0x1f1e6,0x1f1f9	flag at
0x1f1e6,0x1f1fa	flag au
0x1f1e6,0x1f1fc	flag aw
0x1f1e6,0x1f1fd	flag ax
0x1f1e6,0x1f1ff	flag az
0x1f1e7,0x1f1e6	flag ba
0x1f1e7,0x1f1e7	flag bb
0x1f1e7,0x1f1e9	flag bd
0x1f1e7,0x1f1ea	flag be
0x1f1e7,0x1f1eb	flag bf
0x1f1e7,0x1f1ec	flag bg
0x1f1e7,0x1f1ed	flag bh
0x1f1e7,0x1f1ee	flag bi
0x1f1e7,0x1f1ef	flag bj
0x1f1e7,0x1f1f1	flag bl
0x1f1e7,0x1f1f2	flag bm
0x1f1e7,0x1f1f3	flag bn
0x1f1e7,0x1f1f4	flag bo
0x1f1e7,0x1f1f6	flag bq
0x1f1e7,0x1f1f7	flag br
0x1f1e7,0x1f1f8	flag bs
0x1f1e7,0x1f1f9	flag bt
0x1f1e7,0x1f1fb	flag bv
0x1f1e7,0x1f1fc	flag bw
0x1f1e7,0x1f1fe	flag by
0x1f1e7,0x1f1ff	flag bz
0x1f1e8,0x1f1e6	flag ca
0x1f1e8,0x1f1e8	flag cc
0x1f1e8,0x1f1e9	flag cd
0x1f1e8,0x1f1eb	flag cf
0x1f1e8,0x1f1ec	flag cg
0x1f1e8,0x1f1ed	flag ch
0x1f1e8,0x1f1ee	flag ci
0x1f1e8,0x1f1f0	flag ck
0x1f1e8,0x1f1f1	flag cl
0x1f1e8,0x1f1f2	flag cm
0x1f1e8,0x1f1f3	flag cn
0x1f1e8,0x1f1f3	cn
0x1f1e8,0x1f1f4	flag co
0x1f1e8,0x1f1f5	flag cp
0x1f1e8,0x1f1f7	flag cr
0x1f1e8,0x1f1fa	flag cu
0x1f1e8,0x1f1fb	flag cv
0x1f1e8,0x1f1fc	flag cw
0x1f1e8,0x1f1fd	flag cx
0x1f1e8,0x1f1fe	flag cy
0x1f1e8,0x1f1ff	flag cz
0x1f1e9,0x1f1ea	flag de
0x1f1e9,0x1f1ea	de
0x1f1e9,0x1f1ec	flag dg
0x1f1e9,0x1f1ef	flag dj
0x1f1e9,0x1f1f0	flag dk
0x1f1e9,0x1f1f2	flag dm
0x1f1e9,0x1f1f4	flag do
0x1f1e9,0x1f1ff	flag dz
0x1f1ea,0x1f1e6	flag ea
0x1f1ea,0x1f1e8	flag ec
0x1f1ea,0x1f1ea	flag ee
0x1f1ea,0x1f1ec	flag eg
0x1f1ea,0x1f1ed	flag eh
0x1f1ea,0x1f1f7	flag er
0x1f1ea,0x1f1f8	flag es
0x1f1ea,0x1f1f8	es
0x1f1ea,0x1f1f9	flag et
0x1f1ea,0x1f1fa	flag eu
0x1f1eb,0x1f1ee	flag fi
0x1f1eb,0x1f1ef	flag fj
0x1f1eb,0x1f1f0	flag fk
0x1f1eb,0x1f1f2	flag fm
0x1f1eb,0x1f1f4	flag fo
0x1f1eb,0x1f1f7	flag fr
0x1f1eb,0x1f1f7	fr
0x1f1ec,0x1f1e6	flag ga
